ts,reason,cancel_aggressive_policy,policy_enabled,trade_side,trade_px,mid_at_trigger,bid_px,ask_px,spread_bps,tfi,last_quote_fade_age_ms,ret_1s_bps,ret_3s_bps,ret_5s_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps,suppression_result_1s,suppression_result_3s,suppression_result_5s
1777015042.3705826,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.31939978563772775,2763.66925239563,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015042.605864,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.31939978563772775,2998.950719833374,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015042.8696396,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.31939978563772775,3262.726306915283,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015043.1050613,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.31939978563772775,3498.147964477539,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015043.372923,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.31939978563772775,3766.009569168091,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015044.610027,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.2779587404994571,1004.1189193725586,0.0,0.0,0.8653532047286052,0.0,0.0,0.8653532047286052,neutral,neutral,unsafe_suppression
1777015044.8674426,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.2779587404994571,1261.5344524383545,0.0,0.0,0.8653532047286052,0.0,0.0,0.8653532047286052,neutral,neutral,unsafe_suppression
1777015045.1067593,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.2779587404994571,1500.8511543273926,0.0,0.0,0.8653532047286052,0.0,0.0,0.8653532047286052,neutral,neutral,unsafe_suppression
1777015045.3689656,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.2779587404994571,1763.0574703216553,0.0,0.0,0.8653532047286052,0.0,0.0,0.8653532047286052,neutral,neutral,unsafe_suppression
1777015047.10538,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.2779587404994571,1238.4040355682373,0.0,0.8653532047286052,0.8653532047286052,0.0,0.8653532047286052,0.8653532047286052,neutral,unsafe_suppression,unsafe_suppression
1777015048.6059308,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.4095238095238095,1225.4786491394043,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015048.8682513,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.1949999999997,2311.19,2311.2,0.04326766023534809,-0.4095238095238095,1487.7991676330566,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,0.8653532047286052,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015049.3599832,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.395,2311.39,2311.4,0.04326391638044678,-0.12915129151291507,1979.5310497283936,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015049.6067486,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.395,2311.39,2311.4,0.04326391638044678,-0.12915129151291507,2226.2964248657227,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015049.8751557,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.395,2311.39,2311.4,0.04326391638044678,-0.12915129151291507,2494.703531265259,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015050.1059275,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.395,2311.39,2311.4,0.04326391638044678,-0.12915129151291507,2725.475311279297,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015050.3553007,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.2,2311.395,2311.39,2311.4,0.04326391638044678,-0.12915129151291507,2974.848508834839,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015051.8705418,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.4,2311.395,2311.39,2311.4,0.04326391638044678,-0.019999999999999945,1265.3181552886963,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015052.1051292,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.4,2311.395,2311.39,2311.4,0.04326391638044678,-0.019999999999999945,1499.9055862426758,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015058.1718524,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.4,2311.395,2311.39,2311.4,0.04326391638044678,-0.019999999999999945,1008.0227851867676,0.0,-0.6056948293124831,-0.30284741465722526,0.0,-0.6056948293124831,-0.30284741465722526,neutral,safe_suppression,safe_suppression
1777015118.1050513,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2311.59,2311.585,2311.58,2311.59,0.04326036031648535,-0.6470588235294118,1003.9129257202148,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777015124.1066964,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.585,2311.58,2311.59,0.04326036031648535,0.039145907473309635,1001.4302730560303,-0.12978108094552154,-0.12978108094552154,-0.12978108094552154,0.12978108094552154,0.12978108094552154,0.12978108094552154,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015124.3757071,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,1270.4410552978516,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015124.605405,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,1500.1389980316162,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015124.8583076,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,1753.0415058135986,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015125.1063342,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,2001.068115234375,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015125.3684127,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,2263.1466388702393,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
