ts,in_quote,quote_ts,quote_leg,quote_price,quote_lifetime_sec,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,proximity_to_quote_bps,proximity_to_best_bps,danger_direction_match,trade_reuse_key,duplicate_trade_signal,time_since_quote_ms,time_to_quote_end_ms
1777017801.7793183,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,,0.0,unknown,sell:2310.58:1777017801.7,False,,
1777017802.0434682,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,,0.0,unknown,sell:2310.58:1777017802.0,False,,
1777017802.3026762,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,,0.0,unknown,sell:2310.58:1777017802.3,False,,
1777017802.5582368,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,,0.0,unknown,sell:2310.58:1777017802.5,False,,
1777017803.3512225,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,,0.0,unknown,sell:2310.58:1777017803.3,False,,
1777017803.60216,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,,0.0,unknown,sell:2310.58:1777017803.6,False,,
1777017803.8813968,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,,0.0,unknown,sell:2310.58:1777017803.8,False,,
1777017804.3946378,False,,,,,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,,0.0,unknown,sell:2310.58:1777017804.3,False,,
1777017804.6426997,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017804.6,False,,
1777017804.892349,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017804.8,False,,
1777017805.1549928,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017805.1,False,,
1777017805.4023077,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017805.4,False,,
1777017805.657326,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017805.6,False,,
1777017805.9020875,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017805.9,False,,
