ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777018066.2391245,bid,buy,2305.88,0.21,2309.5950000000003,2309.593227982511,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.7396421525273829,15.0,15.0,current,current,16.085071192136045,16.07741111084978,14.204299398914522,passive_inside_book,with_flow,0.260361909866333,tfi_fade,0,0,1
1777018066.2391245,ask,sell,2316.29,0.25,2309.5950000000003,2309.593227982511,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.7396421525273829,15.0,15.0,current,current,28.98776625338948,28.995460916460658,30.833589558152454,passive_inside_book,against_flow,0.260361909866333,tfi_fade,0,0,1
1777018066.5024848,bid,buy,2305.9700000000003,0.21,2309.5950000000003,2309.5910794800066,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.3748219038146188,15.0,15.0,current,current,15.695392482231732,15.678444172124056,13.814547281260719,passive_inside_book,with_flow,0.26114821434020996,quote_fade,0,1,0
1777018066.5024848,ask,sell,2316.36,0.25,2309.5950000000003,2309.5910794800066,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.3748219038146188,15.0,15.0,current,current,29.29084969442639,29.307874368468557,31.13672878133725,passive_inside_book,against_flow,0.26114821434020996,quote_fade,0,1,0
1777018067.015624,bid,buy,2305.9700000000003,0.21,2309.5950000000003,2309.5916492395436,2309.59,2309.6,0.043297634432718855,0.8253867344776437,-0.40423007326985266,15.0,15.0,current,current,15.695392482231732,15.680907231959361,15.67377759688902,passive_inside_book,with_flow,0.26117753982543945,tfi_fade,0,0,1
1777018067.015624,ask,sell,2316.36,0.25,2309.5950000000003,2309.5916492395436,2309.59,2309.6,0.043297634432718855,0.8253867344776437,-0.40423007326985266,15.0,15.0,current,current,29.29084969442639,29.3054002108342,29.26913751299021,passive_inside_book,against_flow,0.26117753982543945,tfi_fade,0,0,1
1777018067.2793102,bid,buy,2305.9700000000003,0.21,2309.5950000000003,2309.5916481950603,2309.59,2309.6,0.043297634432718855,0.8253867344776437,-0.4043007563399081,15.0,15.0,current,current,15.695392482231732,15.68090271667881,15.67377759688902,passive_inside_book,with_flow,0.26177501678466797,cancel_aggressive,1,0,0
1777018067.2793102,ask,sell,2316.36,0.25,2309.5950000000003,2309.5916481950603,2309.59,2309.6,0.043297634432718855,0.8253867344776437,-0.4043007563399081,15.0,15.0,current,current,29.29084969442639,29.305404746459228,29.26913751299021,passive_inside_book,against_flow,0.26177501678466797,cancel_aggressive,1,0,0
1777018195.0061872,bid,buy,2300.42,0.21,2307.965,2307.96234250315,2307.5,2307.51,0.04333685084200588,-0.762645914396887,-0.833215284249767,15.0,15.0,current,current,32.6911369973118,32.67966016711404,30.68255687973966,passive_inside_book,against_flow,0.2495746612548828,cancel_aggressive,1,0,0
1777018195.0061872,ask,sell,2310.8,0.25,2307.965,2307.96234250315,2307.5,2307.51,0.04333685084200588,-0.762645914396887,-0.833215284249767,15.0,15.0,current,current,12.283548494019781,12.295077110194647,14.25779303231606,passive_inside_book,with_flow,0.2495746612548828,cancel_aggressive,1,0,0
