scenario,policy,quote_ts,leg,tfi_at_quote,would_suppress,suppress_reason,original_end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
18bps,B_tfi_0p6,1777018573.3473864,ask,0.992755706318634,True,tfi>=0.6,cancel_aggressive,0.2541501522064209,1,0,0
18bps,C_tfi_0p7,1777018573.3473864,ask,0.992755706318634,True,tfi>=0.7,cancel_aggressive,0.2541501522064209,1,0,0
18bps,D_tfi_0p8,1777018573.3473864,ask,0.992755706318634,True,tfi>=0.8,cancel_aggressive,0.2541501522064209,1,0,0
18bps,A_current,1777018581.1001105,bid,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,B_tfi_0p6,1777018581.1001105,bid,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,C_tfi_0p7,1777018581.1001105,bid,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,D_tfi_0p8,1777018581.1001105,bid,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,A_current,1777018581.1001105,ask,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,B_tfi_0p6,1777018581.1001105,ask,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,C_tfi_0p7,1777018581.1001105,ask,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,D_tfi_0p8,1777018581.1001105,ask,0.5562776957163975,False,,cancel_aggressive,0.25906968116760254,1,0,0
18bps,A_current,1777018581.604276,bid,0.9073120494335739,False,,cancel_aggressive,0.25106215476989746,1,0,0
18bps,B_tfi_0p6,1777018581.604276,bid,0.9073120494335739,False,,cancel_aggressive,0.25106215476989746,1,0,0
18bps,C_tfi_0p7,1777018581.604276,bid,0.9073120494335739,False,,cancel_aggressive,0.25106215476989746,1,0,0
18bps,D_tfi_0p8,1777018581.604276,bid,0.9073120494335739,False,,cancel_aggressive,0.25106215476989746,1,0,0
18bps,A_current,1777018581.604276,ask,0.9073120494335739,False,,cancel_aggressive,0.25106215476989746,1,0,0
18bps,B_tfi_0p6,1777018581.604276,ask,0.9073120494335739,True,tfi>=0.6,cancel_aggressive,0.25106215476989746,1,0,0
18bps,C_tfi_0p7,1777018581.604276,ask,0.9073120494335739,True,tfi>=0.7,cancel_aggressive,0.25106215476989746,1,0,0
18bps,D_tfi_0p8,1777018581.604276,ask,0.9073120494335739,True,tfi>=0.8,cancel_aggressive,0.25106215476989746,1,0,0
18bps,A_current,1777018622.80497,bid,0.6433531746031748,False,,cancel_aggressive,0.26344799995422363,1,0,0
18bps,B_tfi_0p6,1777018622.80497,bid,0.6433531746031748,False,,cancel_aggressive,0.26344799995422363,1,0,0
18bps,C_tfi_0p7,1777018622.80497,bid,0.6433531746031748,False,,cancel_aggressive,0.26344799995422363,1,0,0
18bps,D_tfi_0p8,1777018622.80497,bid,0.6433531746031748,False,,cancel_aggressive,0.26344799995422363,1,0,0
18bps,A_current,1777018622.805969,ask,0.6433531746031748,False,,cancel_aggressive,0.2624490261077881,1,0,0
18bps,B_tfi_0p6,1777018622.805969,ask,0.6433531746031748,True,tfi>=0.6,cancel_aggressive,0.2624490261077881,1,0,0
18bps,C_tfi_0p7,1777018622.805969,ask,0.6433531746031748,False,,cancel_aggressive,0.2624490261077881,1,0,0
18bps,D_tfi_0p8,1777018622.805969,ask,0.6433531746031748,False,,cancel_aggressive,0.2624490261077881,1,0,0
18bps,A_current,1777018632.0668876,bid,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,B_tfi_0p6,1777018632.0668876,bid,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,C_tfi_0p7,1777018632.0668876,bid,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,D_tfi_0p8,1777018632.0668876,bid,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,A_current,1777018632.0668876,ask,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,B_tfi_0p6,1777018632.0668876,ask,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,C_tfi_0p7,1777018632.0668876,ask,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,D_tfi_0p8,1777018632.0668876,ask,0.5993250498542722,False,,cancel_aggressive,0.23005986213684082,1,0,0
18bps,A_current,1777018745.305286,bid,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,B_tfi_0p6,1777018745.305286,bid,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,C_tfi_0p7,1777018745.305286,bid,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,D_tfi_0p8,1777018745.305286,bid,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,A_current,1777018745.305286,ask,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,B_tfi_0p6,1777018745.305286,ask,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,C_tfi_0p7,1777018745.305286,ask,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
