scenario,ts,reason,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,in_quote,quote_leg,quote_lifetime_sec
18bps,1777018867.3638926,cancel_aggressive,sell,2321.09,2321.0950000000003,2321.09,2321.1,0.0430831137879472,0.1729070999646769,False,,
18bps,1777018867.5976975,cancel_aggressive,sell,2321.06,2321.0950000000003,2321.09,2321.1,0.0430831137879472,0.17228596646072392,False,,
18bps,1777018867.847473,cancel_aggressive,sell,2320.94,2320.9449999999997,2320.94,2320.95,0.04308589819992948,0.17187224280924668,False,,
18bps,1777018868.095533,cancel_aggressive,buy,2320.95,2320.9449999999997,2320.94,2320.95,0.04308589819992948,0.38554342173687,False,,
18bps,1777018868.362756,cancel_aggressive,buy,2321.04,2321.045,2321.04,2321.05,0.043084041887245954,0.38650051921080025,False,,
18bps,1777018868.6019554,cancel_aggressive,buy,2321.04,2321.045,2321.04,2321.05,0.043084041887245954,0.38650051921080025,False,,
18bps,1777018868.8591366,cancel_aggressive,sell,2321.14,2321.145,2321.14,2321.15,0.0430821857325513,0.40894703523950227,False,,
18bps,1777018869.0997617,cancel_aggressive,sell,2321.14,2321.145,2321.14,2321.15,0.0430821857325513,0.40894703523950227,False,,
18bps,1777018869.3586578,cancel_aggressive,buy,2321.15,2321.145,2321.14,2321.15,0.0430821857325513,0.4086974878615161,False,,
18bps,1777018869.6036055,cancel_aggressive,buy,2321.41,2321.4049999999997,2321.4,2321.41,0.043077360476795445,0.4645356534896925,False,,
18bps,1777018869.8607483,cancel_aggressive,sell,2321.14,2321.105,2321.1,2321.11,0.0430829281752367,0.4591634406571622,False,,
18bps,1777018870.09967,cancel_aggressive,sell,2321.04,2321.005,2321.0,2321.01,0.04308478439390815,0.4587502359826321,False,,
18bps,1777018870.358587,cancel_aggressive,sell,2320.83,2320.835,2320.83,2320.84,0.04308794033276074,0.4597492102996075,False,,
18bps,1777018870.6014674,cancel_aggressive,sell,2320.72,2320.725,2320.72,2320.73,0.043089982657222546,0.44640485676342256,False,,
