ts,trade_id,trade_side,trade_px,trade_age_ms,has_active_quote,used_px_source,active_bid_px,active_ask_px,active_bid_qty,active_ask_qty,active_bid_ts,active_ask_ts,proximity_to_active_bid_bps,proximity_to_active_ask_bps,proximity_to_active_quote_bps,proximity_to_best_bps,danger_direction_match,tfi,spread_bps,quote_lifetime_sec,end_reason,quote_fade_nearby,quote_fade_dt_ms,valid_active_cancel_candidate
1777122084.6694036,1431919295023792130,buy,2313.36,285.4034900665283,True,active_quote,2309.33,2321.83,0.21,0.25,1777122084.427246,1777122084.427246,17.450948976543845,36.47984563899941,36.47984563899941,0.1296798205220276,True,1.0,0.0432267002671995,0.2421574592590332,cancel_aggressive,True,750.3030300140381,False
1777122085.1674485,1431919295023792130,buy,2313.36,783.4484577178955,True,active_quote,2309.29,2321.79,0.21,0.25,1777122084.925684,1777122084.925684,17.624464662299513,36.30819324745062,36.30819324745062,0.1296798205220276,True,1.0,0.0432267002671995,0.24176454544067383,cancel_aggressive,True,252.2580623626709,False
1777122085.9207678,1431919295023792130,buy,2313.36,1536.7677211761475,True,active_quote,2309.36,2321.86,0.21,0.25,1777122085.6719685,1777122085.6719685,17.320816156857312,36.608581051398446,36.608581051398446,0.1296798205220276,True,1.0,0.0432267002671995,0.24879932403564453,cancel_aggressive,True,-501.06120109558105,False
1777122086.4198666,1431919295023792130,buy,2313.36,2035.8664989471436,True,active_quote,2309.36,2321.86,0.21,0.25,1777122086.1732998,1777122086.1732998,17.320816156857312,36.608581051398446,36.608581051398446,0.1296798205220276,True,1.0,0.0432267002671995,0.2465667724609375,cancel_aggressive,True,246.8888759613037,False
1777122087.2023785,1431919303924105216,buy,2313.39,696.3784694671631,True,active_quote,2309.36,2321.86,0.21,0.25,1777122086.9397862,1777122086.9397862,17.450722278032636,36.47937429474755,36.47937429474755,0.0,True,1.0,0.0432267002671995,0.2625923156738281,cancel_aggressive,True,-535.6230735778809,False
1777122087.70695,1431919303924105216,buy,2313.39,1200.9499073028564,True,active_quote,2309.36,2321.86,0.21,0.25,1777122087.46961,1777122087.4706147,17.450722278032636,36.47937429474755,36.47937429474755,0.0,True,1.0,0.0432267002671995,0.23733997344970703,cancel_aggressive,False,-1040.1945114135742,False
1777122088.2345057,1431919303924105216,buy,2313.39,1728.5056114196777,True,active_quote,2309.36,2321.86,0.21,0.25,1777122087.9717925,1777122087.9717925,17.450722278032636,36.47937429474755,36.47937429474755,0.0,True,1.0,0.0432267002671995,0.2627131938934326,cancel_aggressive,True,832.2689533233643,False
1777122088.7986405,1431919303924105216,buy,2313.39,2292.640447616577,True,active_quote,2309.37,2321.87,0.21,0.25,1777122088.517737,1777122088.517737,17.407344860286496,36.52228591609357,36.52228591609357,0.0,True,1.0,0.0432267002671995,0.28090357780456543,cancel_aggressive,True,268.13411712646484,False
1777122089.570902,1431919303924105216,buy,2313.39,3064.9020671844482,True,active_quote,2309.36,2321.86,0.21,0.25,1777122089.3377018,1777122089.3377018,17.450722278032636,36.47937429474755,36.47937429474755,0.0,True,1.0,0.0432267002671995,0.2332003116607666,cancel_aggressive,True,-504.12750244140625,False
1777122090.0674503,1431919303924105216,buy,2313.39,3561.450242996216,True,active_quote,2309.35,2321.85,0.21,0.25,1777122089.8417008,1777122089.8417008,17.494100071448518,36.436462303766554,36.436462303766554,0.0,True,1.0,0.0432267002671995,0.22574949264526367,cancel_aggressive,True,499.19629096984863,False
1777122091.8217447,1431919303924105216,buy,2313.39,5315.744638442993,True,active_quote,2309.35,2321.85,0.21,0.25,1777122091.5702736,1777122091.5702736,17.494100071448518,36.436462303766554,36.436462303766554,0.0,True,1.0,0.0432267002671995,0.25147104263305664,cancel_aggressive,True,246.02603912353516,False
1777122093.0699906,1431919303924105216,buy,2313.39,6563.990592956543,True,active_quote,2309.23,2321.73,0.21,0.25,1777122092.8247564,1777122092.825759,18.014662896289476,35.92148957889223,35.92148957889223,0.0,True,1.0,0.0432267002671995,0.24523425102233887,cancel_aggressive,True,497.5244998931885,False
1777122094.0668666,1431919303924105216,buy,2313.39,7560.866594314575,True,active_quote,2309.23,2321.73,0.21,0.25,1777122093.8230636,1777122093.8230636,18.014662896289476,35.92148957889223,35.92148957889223,0.0,True,1.0,0.0432267002671995,0.2438030242919922,cancel_aggressive,True,-499.35150146484375,False
1777122094.5674524,1431919303924105216,buy,2313.39,8061.452388763428,True,active_quote,2309.23,2321.73,0.21,0.25,1777122094.3325365,1777122094.3325365,18.014662896289476,35.92148957889223,35.92148957889223,0.0,True,1.0,0.0432267002671995,0.23491597175598145,cancel_aggressive,True,500.12850761413574,False
1777122095.6090868,1431919341534429184,buy,2313.39,136.08670234680176,True,active_quote,2309.23,2321.73,0.21,0.25,1777122095.3470774,1777122095.3470774,18.014662896289476,35.92148957889223,35.92148957889223,0.0,True,1.0,0.0432267002671995,0.2620093822479248,cancel_aggressive,True,-541.5058135986328,False
